título	código	preço	cliques	cliques não pagos	disponibilidade	Anúncios do Shopping - ativa	Anúncios do Shopping - reprovada ou inválida	Free listings - Plus - ativa	Free listings - Plus - reprovada ou inválida	Listagens gratuitas - ativa	Listagens gratuitas - reprovada ou inválida	Listagens gratuitas avançadas - ativa	Listagens gratuitas avançadas - reprovada ou inválida	Remarketing dinâmico - ativa	canal	país	idioma	altura assento	altura assento (cm)	altura do braço	altura otomana	altura total (cm)	alturacustom	ambientação imagem	características	cor	cuidados e manutenção	código de grupo	descrição	descriçãocustom	designer	embalagem	encosto	especificações de designer	especificações de designer/produto	garantia	gtin	identificador existe	instruções e ajustes	largura	largura assento (cm)	largura otomana	link	link da imagem	link imagem adicional	marca	materiais	mpn	opções de braços	opções de envio	para adultos	parcelas(meses:montante)	peso com embalagem	peso suportado	pesocustom	polegadas	profundidade	profundidade assento	profundidade assento (cm)	profundidade otomana	pronta entrega	similar vitrine	tam/max - altura	tam/min - altura	tamanho	tipo de produto	voltagem	é um pacote
Cadeira About A Chair 26 Branca	256_324	4403.00 BRL	0	0	em estoque		BR		BR		BR		BR	BR	On-line	BR	pt		46 cm	68 cm		79 cm			"O AAC26 tem uma base de 4 pés em aço polido ou com pintura eletrostática, o que confere à cadeira uma expressão mais formal. A concha está disponível em várias cores."	Branco	"- Limpe com um pano limpo umedecido com água ou uma solução de água e detergente neutro
- Remova os resíduos de sabão imediatamente, com um pano limpo e seco
- Evite produtos abrasivos e esponjas ásperas, que podem arranhar a superfície
- Não utilize produtos de limpeza a base de álcool, que podem danificar a superfície"	256	" 
 Cadeira About A Chair 26 Branca"	"O design da cadeira About A Chair AAC26 transpira a simplicidade funcional característica de toda esta coleção. A concha sólida é composta por um encosto curvo com apoios para braços em polipropileno, fornecendo um conforto excelente e um perfil suave."	Hee Welling	Altura 84 cm  Largura 67 cm  Profundidade 58 cm		Criada por Hee Welling para HAY		Garantia 5 Anos	1000043383336	sim	.	59 cm			https://store.hermanmiller.com.br/cadeira-about-a-chair-aac2606-0001_pai/p?idsku=324	http://hermanmiller.vteximg.com.br/arquivos/ids/161534/Cadeira-About-a-Chair-2606-Branca-com-Assento-Cinza.jpg?v=637388171767600000	http://hermanmiller.vteximg.com.br/arquivos/ids/161534/Cadeira-About-a-Chair-2606-Branca-com-Assento-Cinza.jpg?v=637388171767600000	Herman Miller	Base em aço; concha de polipropileno; deslizadores de plástico	AAC2606WHTWPSSDGV2604		<p>Hunter</p>	não	12:366.92 BRL	18000 g	.	"8,5 Kg"		52 cm		40 cm		324					Assentos > Cadeiras Multiuso		não
Cabideiro Eames Branco	87_27	3940.00 BRL	0	0	em estoque	BR		BR		BR		BR		BR	On-line	BR	pt							CABIDEIRODESTAQUE1.jpg / CABIDEIRODESTAQUE2.jpg / CABIDEIRODESTAQUE3.jpg / CABIDEIRODESTAQUE4.jpg / CABIDEIRODESTAQUE5.jpg / CABIDEIRODESTAQUE6.jpg /	"Pode ser preso a paredes e a outras estruturas
A estrutura possui acabamento com revestimento em pó durável e cada uma das suas curvas angulares termina com bolas de madeira sólida."	Branco	"<p>Com o cuidado adequado e manutenção periódica, seu produto Herman Miller oferecerá muitos anos de excelente desempenho e satisfação. Para manter a qualidade, por favor siga os procedimentos de limpeza descritos aqui.</p>

<p><b>Metal Pintado</b></p>

<p>Para a limpeza normal, lave as superfícies de metal pintado com um pano macio molhado com detergente e água morna; enxague completamente e seque. Remova marcas de arranhões de pinturas com pouco brilho com cera em pasta amolecida, seguindo as instruções do fabricante. Remova riscos e arranhões de pinturas de alto brilho com produtos para polimento automotivo, líquidos ou em pasta. Após o polimento, aplique cera automotiva para restaurar o brilho original. Para obter assistência na determinação da cor e do brilho adequados para tinta de retoque Herman Miller, entre em contato com seu Representante de Atendimento ao Cliente Herman Miller.</p>

<p><b>Madeira</b></p>

<p>Aqui estão incluídos os produtos Herman Miller com acabamento em madeira natural ou em madeira pré-composta, com exceção das Poltronas Eames e Otomanas em jacarandá ou com acabamento oleado em nogueira ou cabiúna, a menos que especificamente indicado.</p>

<p><u><i>Limpeza Normal </i></u></p>

<p>Remova o pó regularmente com um pano macio, que não solte pelos, levemente umedecido. Seque com um pano macio e seco, no sentido dos veios da madeira. Líquidos derramados devem ser limpos imediatamente com um pano úmido.</p>

<p><u><i>Mensalmente</i></u></p>

<p>Limpe a superfície com um pano macio umedecido com um produto de limpeza de boa qualidade, específico para móveis de madeira. Passe o pano no sentido dos veios da madeira para remover a sujeira e marcas de dedos. Seque com um pano macio limpo.</p>

<p><u><i>Duas vezes por ano </i></u></p>

<p>Aplique um lustra-móveis de boa qualidade com um pano macio. Não utilize limpadores ou lustra-móveis em aerossol. Também não utilize lustra-móveis com cera ou abrasivos, nem lustra-móveis a base de óleo.</p>

<p><u><i>Manchas</i></u></p>

<p>As madeiras Herman Miller atendem a rígidos padrões de resistência a desgaste, luz, manchas, água e pressão. Para reduzir o risco de danos, tome algumas precauções: utilize porta-copos para copos e canecas. Se utilizar um tampo de vidro sobre a superfície de madeira, coloque proteções de feltro. Não deixe vasos de plantas sobre uma superfície de madeira a menos que o vaso seja a prova d’água ou tenha um prato embaixo. Não deixe pastas de vinil sobre a superfície por muito tempo. Use protetores de feltro embaixo de equipamentos com pés de “borracha”. Algumas substâncias químicas utilizadas nos pés de equipamentos de escritório, como impressoras e monitores, podem deixar manchas ou marcas permanentes.</p>

<p><u><i>Pequenos reparos de marcas de copos, manchas e riscos</i><"	87	"<div class=""produto-extra-description"">
<section class=""extra-info"">
<div class=""product-banner-desk"">
<img src=""/arquivos/cabideiro2.jpg"" class=""extra-info-image"" alt="""">
</div>

<div class=""product-banner-mobile""> 

<img src=""/arquivos/mobile1cabideiro.jpg"" class=""extra-info-image"" alt="""">

</div>
<div class=""container"">
<div class=""right-position-text"">
<p class=""extra-info-title"">Divertido, mas não fútil</p>
<p class=""extra-info-desc"">O Cabideiro Eames, que surgiu pela primeira vez em 1953 para decorar paredes de quartos infantis, é uma das muitas peças singulares criadas por Charles e Ray Eames. Hoje, essa singularidade marca presença onde quer que se pendure o Cabideiro Eames, seja um saguão artístico ou uma porta de entrada impactante.</p>
</div>
</div>
</section>


<section class=""product-spec text-center"">
<h3><small>Cabideiro Eames</small><br>
Especificações
</h3><p><br><br><img src=""/arquivos/eames_hang_it_all_spec_01.png"" alt="""" /></p>

</section>

</div> 
 Cabideiro Eames Branco"	"Com o Cabideiro Hang-It-All, Charles e Ray Eames elevaram o cabideiro nosso de cada dia a algo criativo e divertido. Primeiramente criado com ganchos multicoloridos e uma moldura branca de arame, a oferta de material e cores se expandiu desde então com fidelidade à sofisticação – e ao senso de diversão – do original.

O Cabideiro Hang-It-All — juntamente com animais moldados de madeira compensada, cadeiras e mesas de pequena escala, máscaras elaboradas de papel e papelão, e blocos de construção de cores brilhantes — recebeu a mesma consideração cuidadosa de design que os projetos de móveis do casal.

Para conseguir a base araneiforme do Hang-It-All, os Eames adotaram técnicas de produção em massa de arames de soldadura que foram desenvolvidas para suas mesas e cadeiras com base de arame."	Charles e Ray Eames	"<p>Tipo de Embalagem: <b>caixa em papelão</b></p>
<p><p>Tamanho da Embalagem: <b> 55,8 x 40,6 x 20,3 </b></p>
<p>Necessário Montagem : <b> Não </b></p>"					1000041120957	sim	.				https://store.hermanmiller.com.br/cabideiro-eames-branco-hia9191-branco/p?idsku=27	http://hermanmiller.vteximg.com.br/arquivos/ids/158910/HIA9191_01.jpg?v=636905253525500000	http://hermanmiller.vteximg.com.br/arquivos/ids/158910/HIA9191_01.jpg?v=636905253525500000,http://hermanmiller.vteximg.com.br/arquivos/ids/158911/HIA9191_02.jpg?v=636905253690670000,http://hermanmiller.vteximg.com.br/arquivos/ids/158912/HIA9191_03.jpg?v=636905253935530000,http://hermanmiller.vteximg.com.br/arquivos/ids/158913/HIA9191_04.jpg?v=636905254067170000	Herman Miller		HIA9191		<p>Hunter</p>	não	12:328.33 BRL	2700 g		.						27	"156037,156036, 156035"				Decor & Lifestyle > Cabideiros		não
Mesa Tray Quadrada Pequena Preta	321_329	1425.00 BRL	2	0	em estoque	BR		BR		BR		BR		BR	On-line	BR	pt						34 cm	TRAY-TABLE-DESTAQUE1.jpg / TRAY-TABLE-DESTAQUE2.jpg / TRAY-TABLE-DESTAQUE3.jpg / TRAY-TABLE-DESTAQUE4.jpg / TRAY-TABLE-DESTAQUE5.jpg / TRAY-TABLE-DESTAQUE6.jpg / TRAY-TABLE-DESTAQUE7.jpg / TRAY-TABLE-DESTAQUE8.jpg / TRAY-TABLE-DESTAQUE9.jpg /		Preto	"- Limpe com um pano limpo umedecido com água ou uma solução de água e detergente neutro



- Remova os resíduos de sabão imediatamente, com um pano limpo e seco



- Evite produtos abrasivos e esponjas ásperas, que podem arranhar a superfície



- Não utilize solventes, já que podem ter efeitos adversos sobre o revestimento; nunca utilize ácido acético ou ácido cítrico"	321	" 
 Mesa Tray Quadrada Pequena Preta"	"A Mesa Tray de metal é um móvel multifuncional que pode ser facilmente adaptado para atender às suas necessidades. Com o tampo de bandeja posicionado no lugar, pode ser utilizada como mesa de cabeceira ou mesa de centro. Ao remover o tampo, ele se torna uma bandeja que pode ser usada para carregar itens."	HAY	Altura  36 cm  Largura  36 cm  Profundidade  36 cm				Garantia 5 Anos	5710441005551	sim	.	30 cm			https://store.hermanmiller.com.br/mesa-tray-quadrada-pequena-preta-ttlss1213-0002_pai/p?idsku=329	http://hermanmiller.vteximg.com.br/arquivos/ids/161090/Mesa-Tray-Quadrada-Pequena-Preta.jpg?v=637363290922700000	http://hermanmiller.vteximg.com.br/arquivos/ids/161090/Mesa-Tray-Quadrada-Pequena-Preta.jpg?v=637363290922700000	Herman Miller	Aço com pintura eletrostática.	TTLSS1213BPS		<p>Hunter</p>	não	12:118.75 BRL	5000 g		"5,5 Kg"		30 cm									Mesas > Mesas Lateral		não
Cabideiro Eames Pride	237_240	3015.00 BRL	0	0	em estoque	BR		BR		BR		BR		BR	On-line	BR	pt						37 cm		"Pode ser preso a paredes e a outras estruturas
A estrutura possui acabamento com revestimento em pó durável e cada uma das suas curvas angulares termina com bolas de madeira sólida."	Colorido	"<p>Com o cuidado adequado e manutenção periódica, seu produto Herman Miller oferecerá muitos anos de excelente desempenho e satisfação. Para manter a qualidade, por favor siga os procedimentos de limpeza descritos aqui.</p>

<p><b>Metal Pintado</b></p>

<p>Para a limpeza normal, lave as superfícies de metal pintado com um pano macio molhado com detergente e água morna; enxague completamente e seque. Remova marcas de arranhões de pinturas com pouco brilho com cera em pasta amolecida, seguindo as instruções do fabricante. Remova riscos e arranhões de pinturas de alto brilho com produtos para polimento automotivo, líquidos ou em pasta. Após o polimento, aplique cera automotiva para restaurar o brilho original. Para obter assistência na determinação da cor e do brilho adequados para tinta de retoque Herman Miller, entre em contato com seu Representante de Atendimento ao Cliente Herman Miller.</p>

<p><b>Madeira</b></p>

<p>Aqui estão incluídos os produtos Herman Miller com acabamento em madeira natural ou em madeira pré-composta, com exceção das Poltronas Eames e Otomanas em jacarandá ou com acabamento oleado em nogueira ou cabiúna, a menos que especificamente indicado.</p>

<p><u><i>Limpeza Normal </i></u></p>

<p>Remova o pó regularmente com um pano macio, que não solte pelos, levemente umedecido. Seque com um pano macio e seco, no sentido dos veios da madeira. Líquidos derramados devem ser limpos imediatamente com um pano úmido.</p>

<p><u><i>Mensalmente</i></u></p>

<p>Limpe a superfície com um pano macio umedecido com um produto de limpeza de boa qualidade, específico para móveis de madeira. Passe o pano no sentido dos veios da madeira para remover a sujeira e marcas de dedos. Seque com um pano macio limpo.</p>

<p><u><i>Duas vezes por ano </i></u></p>

<p>Aplique um lustra-móveis de boa qualidade com um pano macio. Não utilize limpadores ou lustra-móveis em aerossol. Também não utilize lustra-móveis com cera ou abrasivos, nem lustra-móveis a base de óleo.</p>

<p><u><i>Manchas</i></u></p>

<p>As madeiras Herman Miller atendem a rígidos padrões de resistência a desgaste, luz, manchas, água e pressão. Para reduzir o risco de danos, tome algumas precauções: utilize porta-copos para copos e canecas. Se utilizar um tampo de vidro sobre a superfície de madeira, coloque proteções de feltro. Não deixe vasos de plantas sobre uma superfície de madeira a menos que o vaso seja a prova d’água ou tenha um prato embaixo. Não deixe pastas de vinil sobre a superfície por muito tempo. Use protetores de feltro embaixo de equipamentos com pés de “borracha”. Algumas substâncias químicas utilizadas nos pés de equipamentos de escritório, como impressoras e monitores, podem deixar manchas ou marcas permanentes.</p>

<p><u><i>Pequenos reparos de marcas de copos, manchas e riscos</i><"	237	"<div class=""produto-extra-description"">
<section class=""extra-info""><img class=""extra-info-image"" src=""https://hermanmiller.vteximg.com.br/arquivos/banner%201.jpg"" alt="""" />
<div class=""container"">
<div class=""left-position-text"">
<p class=""extra-info-desc"">O cabideiro Eames Pride Hang-It-All funciona como um vibrante lembrete de que devemos nos esforçar para criar um mundo onde todos possam comemorar sua identidade, o ano todo. Saiba mais sobre como a Herman Miller apoia as perspectivas diversas de nossos funcionários LGBTQ+.
Veja Por Que Isso Importa</p>
</div>
</div>
</section>

<section class=""extra-info""><img class=""extra-info-image"" src=""https://hermanmiller.vteximg.com.br/arquivos/banner%20página%20do%20produto.jpg"" alt="""" />
<div class=""container"">
<div class=""left-position-text"">
<p class=""extra-info-title"">Compromisso em Ação</p>
<p class=""extra-info-desc"">A cada cabideiro Eames Pride Hang-It-All comprado entre os dias 1 de junho e 31 de agosto, nossa fundação Herman Miller Cares doará US$50 para a OutRight Action International, uma ONG que defende os direitos humanos de pessoas LGBTQ+ no mundo todo. Você também receberá uma sacola de edição limitada All Means All, para exibir com orgulho seu apoio, onde quer que você vá.</p>
</div>
</div>
</section>

<section class=""product-spec text-center"">
<h3><small>Cabideiro Eames</small><br>
Especificações
</h3><p><br><br><img src=""/arquivos/eames_hang_it_all_spec_01.png"" alt="""" /></p>

</section>

</div> 
 Cabideiro Eames Pride"	"Com o Cabideiro Hang-It-All, Charles e Ray Eames elevaram o cabideiro nosso de cada dia a algo criativo e divertido. Primeiramente criado com ganchos multicoloridos e uma moldura branca de arame, a oferta de material e cores se expandiu desde então com fidelidade à sofisticação – e ao senso de diversão – do original.

O Cabideiro Hang-It-All — juntamente com animais moldados de madeira compensada, cadeiras e mesas de pequena escala, máscaras elaboradas de papel e papelão, e blocos de construção de cores brilhantes — recebeu a mesma consideração cuidadosa de design que os projetos de móveis do casal.

Para conseguir a base araneiforme do Hang-It-All, os Eames adotaram técnicas de produção em massa de arames de soldadura que foram desenvolvidas para suas mesas e cadeiras com base de arame."	Charles e Ray Eames	"<p>Tipo de Embalagem: <b>caixa em papelão</b></p>
<p><p>Tamanho da Embalagem: <b> 55,8 x 40,6 x 20,3 </b></p>
<p>Necessário Montagem : <b> Não </b></p>"				Garantia de 5 anos	1000043374457	sim	.	50 cm			https://store.hermanmiller.com.br/cabideiro-eames-pride-hiaprd91_colorido/p?idsku=240	http://hermanmiller.vteximg.com.br/arquivos/ids/160769/foto-1-1-.png?v=637262738554070000	http://hermanmiller.vteximg.com.br/arquivos/ids/160769/foto-1-1-.png?v=637262738554070000,http://hermanmiller.vteximg.com.br/arquivos/ids/160770/foto-2-1-.png?v=637262739035970000,http://hermanmiller.vteximg.com.br/arquivos/ids/160771/foto-3-1-.png?v=637262739758930000	Herman Miller		HIAPRD91		<p>Hunter</p>	não	12:251.25 BRL	2700 g		.											Decor & Lifestyle > Cabideiros		não
Regador Plástico 2L Terracota	442_522	425.00 BRL	8	1	em estoque	BR		BR		BR		BR		BR	On-line	BR	pt								"Com design clean, sem alça e com bico alongado para facilidade de uso, o Regador de Shane Schneck é um objeto durável e atemporal com proporções de design interessantes. 
Feito de plástico (Polietileno de alta densidade) à prova de condições climáticas em diferentes opções de cores.

- Capacidade: 2 L / 67.75 oz"	Terracota	"Não utilizar máquina de lavar
 Lavar à mão"	442	" 
 Regador Plástico 2L Terracota"	"Shane Schneck é um designer americano radicado na Suécia, onde fundou seu estúdio Office for Design, em Estocolmo, em 2010. Com atitude e visão internacionais, ele já morou e trabalhou em Milão, com o estúdio Piero Lissoni. Seu trabalho é internacionalmente reconhecido e já ganhou os prêmios design Red Dot, iF e Wallpaper. O etos de seu design é criar produtos simples porém inovadores, que desafiem os padrões do setor. Seus produtos frequentemente contêm um elemento de surpresa, ou algo divertido ou ousado em sua concepção. Às vezes em suas cores, formatos ou no uso de materiais. Para a HAY, Schneck criou os produtos Cap, Rhom Trivet, Lup, Analog, Field, Porter, Butler, Bowler e Bernard."	Desenhada por Gergorde Sowden para HAY	"Altura 28,5 cm 
Largura 35,5 cm
Profundidade 18 cm"					5710441253235	sim	.				https://store.hermanmiller.com.br/regador-plastico-2l-terracota-507215_pai/p?idsku=522	http://hermanmiller.vteximg.com.br/arquivos/ids/163576/507215_01.png?v=637703340129900000	http://hermanmiller.vteximg.com.br/arquivos/ids/163576/507215_01.png?v=637703340129900000,http://hermanmiller.vteximg.com.br/arquivos/ids/163603/507215_02.jpg?v=637703340258230000,http://hermanmiller.vteximg.com.br/arquivos/ids/163621/507215_03.jpg?v=637703340340100000,http://hermanmiller.vteximg.com.br/arquivos/ids/163634/507215_04.jpg?v=637703340397200000	Herman Miller	- Polietileno de alta densidade	507215		<p>Hunter</p>	não	8:53.12 BRL	400 g								522					Outdoor > Acessórios		não
Módulo de Alimentação USB Ubi Branco	112_89	861.00 BRL	0	0	em estoque		BR		BR		BR		BR	BR	On-line	BR	pt						"4,44 cm"		"Módulo de carregamento USB portátil com 2 portas USB 2.1.
Cor do cabo é preta.
O módulo de energia USB requer uma única tomada CA para fornecer energia.
Os comprimentos dos cabos são de 1 metro da tomada e a 1,8 metros do módulo."		"<p>Com cuidados regulares e manutenção periódica, seu produto Herman Miller oferecerá muitos anos de satisfação e desempenho superior. Para manter a qualidade, por favor, siga os procedimentos de limpeza descritos aqui.</p>
<p>As instruções de cuidados e manutenção dos produtos Herman Miller são oferecidas como um serviço. Não implicam garantia, já que os resultados podem variar.</p>
<p>Divisores</p>
<p>Metal Pintado</p>
<p>Para limpeza normal, lave as superfícies de metal pintado com um pano macio embebido em água morna e detergente, enxague completamente, e seque. Remova marcas de arranhões de pinturas com pouco brilho com cera em pasta amolecida, seguindo as instruções do fabricante. Remova riscos e arranhões de pinturas de alto brilho com produtos para polimento automotivo, líquidos ou em pasta. Após o polimento, aplique cera automotiva para restaurar o brilho original. </p><p>Para obter assistência na determinação da cor e do brilho adequados para tinta de retoque Herman Miller, entre em contato com seu Representante de Atendimento ao Cliente Herman Miller.</p>"	112	" 
 Módulo de Alimentação USB Ubi Branco"	"Criamos as ferramentas de trabalho Ubi em torno de uma compreensão das pessoas que podem organizar a variedade de ferramentas do portfólio para atender às suas preferências pessoais e estilos de trabalho. Para dar suporte ao que é essencial para o trabalho e aos itens do estilo de vida de cada pessoa, e orientadas pela forma como as pessoas se movem e atuam em seus espaços de trabalho, as ferramentas de trabalho Ubi oferecem ao indivíduo uma rica experiência.

Dependendo dos itens que uma pessoa possui e das tarefas que estão sendo realizadas, a pessoa pode montar as ferramentas de trabalho Ubi de forma adequada. Seja um espaço de trabalho próprio ou usado de forma diversificada, o portfólio permite que cada pessoa se sinta em casa enquanto estiver no escritório, e tenha o suporte para as atividades do trabalho de forma a impulsionar sua eficiência."	Observatory	"<p>Tipo de embalagem:<b> Caixa de papelão</b></p>
<p>Tamanho da Embalagem: <b>6 x 12 x 10</b></p>"		Desenhada por Observatory para Herman Miller®			1000041399896	sim	.	"9,84 cm"			https://store.hermanmiller.com.br/modulo-de-alimentacao-usb-ubi-yt420-a1-0002_branco/p?idsku=89	http://hermanmiller.vteximg.com.br/arquivos/ids/156561/modulo_alimentacao_usb_ubi_1.jpg?v=636671023203530000	http://hermanmiller.vteximg.com.br/arquivos/ids/156561/modulo_alimentacao_usb_ubi_1.jpg?v=636671023203530000,http://hermanmiller.vteximg.com.br/arquivos/ids/156562/modulo_alimentacao_usb_ubi_2.jpg?v=636671023291700000,http://hermanmiller.vteximg.com.br/arquivos/ids/156563/modulo_alimentacao_usb_ubi_3.jpg?v=636671023394970000,http://hermanmiller.vteximg.com.br/arquivos/ids/156564/modulo_alimentacao_usb_ubi_4.jpg?v=636671023504700000	Herman Miller	Metal revestido	YT420.A1-0002		<p>Hunter</p>	não	12:71.75 BRL	300 g		"0,3 Kg"		"6,98 cm"				89					Acessórios > Organizadores		não
Mesa com regulágem de altura Nevi Gaming - 110v	381_416	13330.00 BRL	12	0	em estoque	BR		BR		BR		BR		BR	On-line	BR	pt					Altura(Min. – Máx): 650 – 1250mm				Preto	"Para manter a qualidade, por favor siga os procedimentos de limpeza e cuidados descritos aqui. Para informações sobre a garantia, por favor consulte os Detalhes de Garantia e Serviços abaixo.

Acesse as Instruções Completas de Cuidados e Manutenção"	381	"<style>.embed-container { position: relative; padding-bottom: 56.25%; height: 0; overflow: hidden; max-width: 100%; } .embed-container iframe, .embed-container object, .embed-container embed { position: absolute; top: 0; left: 0; width: 100%; height: 100%; }</style><div class='embed-container'><iframe src='https://client-service.s3.sa-east-1.amazonaws.com/HERMAN/MESA_NEVI_v01_locucao_EDIT02.mp4' frameborder='0' webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe></div> 
 Mesa com regulágem de altura Nevi Gaming - 110v"			.				Garantia de 12 anos para a superfície de trabalho e 5 anos para a base	1000043501082	sim	"Permitindo que você se sente na altura que preferir ou faça uma pausa para ficar de pé, a Mesa Gaming Nevi te deixará perfeitamente pronto para o jogo.

UMA CONFIGURAÇÃO PREMIUM

A Mesa Gaming Nevi apresenta acabamento fosco de toque suave. Ela é anti-reflexo, para que você possa se concentrar no jogo com a configuração de iluminação ideal para você, sem forçar os olhos, e à prova de manchas para que você não precise se preocupar tanto com frequência da limpeza.

ALTURA EXATA

Você pode elevar ou abaixar a Nevi até a altura exata desejada através de um interruptor de toque simples. Quando estiver entre um jogo e outro, você pode elevar a mesa até uma posição para usar de pé e esticar as pernas."	1500mm			https://store.hermanmiller.com.br/mesa-com-regulagem-de-altura-nevi-gaming---110v-dwb6ats-3061ldwbstsbkbbkbacp57_pai/p?idsku=416	http://hermanmiller.vteximg.com.br/arquivos/ids/162108/NEVI_1.jpg?v=637572317995070000	http://hermanmiller.vteximg.com.br/arquivos/ids/162108/NEVI_1.jpg?v=637572317995070000,http://hermanmiller.vteximg.com.br/arquivos/ids/162109/NEVI_2.jpg?v=637572321307300000,http://hermanmiller.vteximg.com.br/arquivos/ids/162110/NEVI_3.jpg?v=637572323614400000,http://hermanmiller.vteximg.com.br/arquivos/ids/162111/NEVI_4.jpg?v=637572323754170000,http://hermanmiller.vteximg.com.br/arquivos/ids/162112/NEVI_5.jpg?v=637572323906500000,http://hermanmiller.vteximg.com.br/arquivos/ids/162113/NEVI_6.jpg?v=637572324033700000	Herman Miller		DWB6ATS.3061LDWBSTSBKBBKBACP57		<p>Hunter</p>	não	12:1110.83 BRL	0 g		"49,2 Kg"		750mm									Gaming	110 V	não
