title	id	price	clicks	unpaid clicks	availability	Dynamic Remarketing - active	Enhanced free listings - active	Enhanced free listings - disapproved or invalid	Free listings - Plus - active	Free listings - Plus - disapproved or invalid	Free listings - active	Free listings - disapproved or invalid	Shopping ads - active	Shopping ads - disapproved or invalid	channel	country	language	additional image link	adult	bases	brand	brazos	color	description	gtin	identifier exists	image link	is bundle	item group id	link	medidas	product type	shipping weight
Mesa Everywhere DT1AS.3060LP-71	18_75	14600.00 MXN	2	0	in stock	MX	MX		MX		MX		MX		Online	MX	es	http://hermanmillermx.vteximg.com.br/arquivos/ids/155655/Everywhere_blanca_1.jpg?v=637708827612630000,http://hermanmillermx.vteximg.com.br/arquivos/ids/155913/Mesa_Everwhere_blanco.jpg?v=637708829009370000	no		Diseñado por Dan Grabowski		Blanco	"Las líneas finas y nítidas ayudan a que estos escritorios duraderos y versátiles se adapten a cualquier lugar. Reorganícelos para una reunión rápida o utilícelos como escritorio de oficina en casa. <a href=""#idRowMedidas"" class=""vtex-store-components-3-x-content--ClassDescriptionProductLink"">Ver más detalles</a> 
 DT1AS.3060LP-71"		yes	http://hermanmillermx.vteximg.com.br/arquivos/ids/155655/Everywhere_blanca_1.jpg?v=637708827612630000	no	18	https://store.hermanmiller.com.mx/mesa-everywhere/p?idsku=75	76 x 152 cm	Mesas > Mesas de Oficina	21 g
Bubble Lamp Saucer Crisscross H763CCM10-1	43_139	16200.00 MXN	0	1	in stock	MX	MX		MX		MX		MX		Online	MX	es	http://hermanmillermx.vteximg.com.br/arquivos/ids/155775/Bubble_Lamp_Saucer_Crisscross_1.jpg?v=637708828204900000,http://hermanmillermx.vteximg.com.br/arquivos/ids/155776/Bubble_Lamp_Saucer_Crisscross_2.jpg?v=637708828209770000	no		Diseñado por George Nelson			"Bubble Saucer Crisscross es una luminaria colgante ancha en forma de disco con líneas entrecruzadas que le dan un contorno encantador. Esta luminaria calienta cualquier ambiente con su luz suave. Las intemporales Nelson Bubble Luminaires se diseñaron en 1952. <a href=""#idRowMedidas"" class=""vtex-store-components-3-x-content--ClassDescriptionProductLink"">Ver más detalles</a> 
 H763CCM10-1"		yes	http://hermanmillermx.vteximg.com.br/arquivos/ids/155775/Bubble_Lamp_Saucer_Crisscross_1.jpg?v=637708828204900000	no	43	https://store.hermanmiller.com.mx/bubble-lamp-saucer-crisscross/p?idsku=139		Decoración > Lámparas colgantes	1 g
Mesa OE1 HZ515S.2448L-1	19_85	14400.00 MXN	1	0	in stock	MX	MX		MX		MX		MX		Online	MX	es	http://hermanmillermx.vteximg.com.br/arquivos/ids/155666/Mesa_OE1_blanco-blanco.jpg?v=637708827694000000,http://hermanmillermx.vteximg.com.br/arquivos/ids/155923/Mesa_y_Carretillo_OE1_blanco.jpg?v=637708829027670000	no		Diseñado por Sam Hecht y Kim Colin		Blanca & Blanca	"Para un trabajo ágil: la mesa OE1 une la estética minimalista y la funcionalidad flexible en una forma elegante. Si está buscando llevar un estilo discreto y utilidad a su hogar u oficina, este escritorio espacioso y resistente es para usted. <a href=""#idRowMedidas"" class=""vtex-store-components-3-x-content--ClassDescriptionProductLink"">Ver más detalles</a> 
 HZ515S.2448L-1"		yes	http://hermanmillermx.vteximg.com.br/arquivos/ids/155666/Mesa_OE1_blanco-blanco.jpg?v=637708827694000000	no	19	https://store.hermanmiller.com.mx/mesa-oe1/p?idsku=85	61 x 122 cm	Mesas > Mesas de Oficina	41.2 g
Mesa Everywhere DT1AS.2448LP-67	18_72	12400.00 MXN	1	0	in stock	MX	MX		MX		MX		MX		Online	MX	es	http://hermanmillermx.vteximg.com.br/arquivos/ids/155650/Everywhere_maple-natural_1.jpg?v=637708827592300000,http://hermanmillermx.vteximg.com.br/arquivos/ids/155651/Everywhere_maple-natural_2.png?v=637708827595100000,http://hermanmillermx.vteximg.com.br/arquivos/ids/155910/Mesa_Everwhere_maple.jpg?v=637708829003600000	no		Diseñado por Dan Grabowski		Maple Natural	"Las líneas finas y nítidas ayudan a que estos escritorios duraderos y versátiles se adapten a cualquier lugar. Reorganícelos para una reunión rápida o utilícelos como escritorio de oficina en casa. <a href=""#idRowMedidas"" class=""vtex-store-components-3-x-content--ClassDescriptionProductLink"">Ver más detalles</a> 
 DT1AS.2448LP-67"		yes	http://hermanmillermx.vteximg.com.br/arquivos/ids/155650/Everywhere_maple-natural_1.jpg?v=637708827592300000	no	18	https://store.hermanmiller.com.mx/mesa-everywhere/p?idsku=72	61 x 122 cm	Mesas > Mesas de Oficina	20 g
Silla Aeron AER2B23DW-3	1_9	34150.00 MXN	134	0	in stock	MX	MX		MX		MX		MX		Online	MX	es	http://hermanmillermx.vteximg.com.br/arquivos/ids/155479/Aeron_M_1.jpg?v=637708826503670000,http://hermanmillermx.vteximg.com.br/arquivos/ids/155480/Aeron_M_2.jpg?v=637708826514630000,http://hermanmillermx.vteximg.com.br/arquivos/ids/155481/Aeron_M_3.jpg?v=637708826524930000,http://hermanmillermx.vteximg.com.br/arquivos/ids/155482/Aeron_M_4.jpg?v=637708826535430000,http://hermanmillermx.vteximg.com.br/arquivos/ids/155848/Aeron_mineral.jpg?v=637708828884700000	no		Diseñado por Don Chadwick y Bill Stumpf		Mineral	"Aeron es la combinación perfecta de rendimiento y diseño. Nuestra silla de oficina más vendida aún establece expectativas de comodidad ergonómica más de 20 años después de su lanzamiento.
<a href=""#idRowMedidas"" class=""vtex-store-components-3-x-content--ClassDescriptionProductLink"">Ver más detalles</a> 
 AER2B23DW-3"		yes	http://hermanmillermx.vteximg.com.br/arquivos/ids/155479/Aeron_M_1.jpg?v=637708826503670000	no	1	https://store.hermanmiller.com.mx/silla-aeron/p?idsku=9	talla B	Sillas > Sillas para Oficinas	18.9 g
Soporte de monitor Ollin Y95111.CM-3	28_109	6750.00 MXN	9	0	in stock	MX	MX		MX		MX		MX		Online	MX	es	http://hermanmillermx.vteximg.com.br/arquivos/ids/155706/Soporte_de_monitor_Ollin_Negro_01.jpg?v=637708827921900000,http://hermanmillermx.vteximg.com.br/arquivos/ids/155707/Soporte_de_monitor_Ollin_Negro_02.jpg?v=637708827933970000,http://hermanmillermx.vteximg.com.br/arquivos/ids/155708/Soporte_de_monitor_Ollin_Negro_03.jpg?v=637708827943670000,http://hermanmillermx.vteximg.com.br/arquivos/ids/155943/Soporte_de_Monitor_Ollin_negro.jpg?v=637708829072870000	no		Diseñado por Herman Miller		Negro	"El soporte para computadora portátil y tableta Ollin se integra con los brazos de pantalla Ollin y Flo para brindar los beneficios ergonómicos de un brazo de pantalla cuando se utilizan computadoras portátiles y tabletas. <a href=""#idRowMedidas"" class=""vtex-store-components-3-x-content--ClassDescriptionProductLink"">Ver más detalles</a> 
 Y95111.CM-3"		yes	http://hermanmillermx.vteximg.com.br/arquivos/ids/155706/Soporte_de_monitor_Ollin_Negro_01.jpg?v=637708827921900000	no	28	https://store.hermanmiller.com.mx/soporte-de-monitor-ollin/p?idsku=109		Accesorios > Tecnología	1 g
Silla Cosm Alta FLC362SFJ-4	5_25	44200.00 MXN	6	0	in stock	MX	MX		MX		MX		MX		Online	MX	es	http://hermanmillermx.vteximg.com.br/arquivos/ids/155540/Cosm_respaldo_alto_brazo_Leaf_canyon_1.jpg?v=637708826886600000,http://hermanmillermx.vteximg.com.br/arquivos/ids/155541/Cosm_respaldo_alto_brazo_Leaf_canyon_3.jpg?v=637708826898500000,http://hermanmillermx.vteximg.com.br/arquivos/ids/155864/Cosm_Canyon.jpg?v=637708828915200000	no		Diseñado por Studio 7.5	brazo Leaf	Canyon	"El diseño ergonómico de la silla Cosm de respaldo alto te responde instantáneamente, brindándote el equilibrio y el apoyo que necesitas, y una sensación de ligereza que puede hacerte olvidar que estás sentado en una silla. En las opciones ""deep in color"", Cosm tiene el mismo tono en todas partes. <a href=""#idRowMedidas"" class=""vtex-store-components-3-x-content--ClassDescriptionProductLink"">Ver más detalles</a> 
 FLC362SFJ-4"		yes	http://hermanmillermx.vteximg.com.br/arquivos/ids/155540/Cosm_respaldo_alto_brazo_Leaf_canyon_1.jpg?v=637708826886600000	no	5	https://store.hermanmiller.com.mx/silla-cosm-alta/p?idsku=25		Sillas > Sillas para Oficinas	19 g
Silla Lino MI2B325HA-1	9_48	24500.00 MXN	1	0	in stock	MX	MX		MX		MX		MX		Online	MX	es	http://hermanmillermx.vteximg.com.br/arquivos/ids/155597/Lino_azul_1.jpg?v=637708827356430000,http://hermanmillermx.vteximg.com.br/arquivos/ids/155598/Lino_azul_2.jpg?v=637708827359100000,http://hermanmillermx.vteximg.com.br/arquivos/ids/155599/Lino_azul_3.jpg?v=637708827362070000,http://hermanmillermx.vteximg.com.br/arquivos/ids/155600/Lino_azul_4.jpg?v=637708827364730000,http://hermanmillermx.vteximg.com.br/arquivos/ids/155887/Lino_azul.jpg?v=637708828960730000	no		Diseñado por Sam Hecht y Kim Colin		Azul	"Lino ofrece un soporte completo para la columna y un ajuste dinámico basado en años de experiencia ergonómica. Todo el mundo debería disfrutar de un buen diseño y comodidad mientras trabaja. <a href=""#idRowMedidas"" class=""vtex-store-components-3-x-content--ClassDescriptionProductLink"">Ver más detalles</a> 
 MI2B325HA-1"		yes	http://hermanmillermx.vteximg.com.br/arquivos/ids/155597/Lino_azul_1.jpg?v=637708827356430000	no	9	https://store.hermanmiller.com.mx/silla-lino/p?idsku=48		Sillas > Sillas para Oficinas	14.8 g
Silla Sayl AS2SA23AA-75	8_45	23000.00 MXN	26	2	in stock	MX	MX		MX		MX		MX		Online	MX	es	http://hermanmillermx.vteximg.com.br/arquivos/ids/155591/Sayl_blanco-gris_1.jpg?v=637708827321230000,http://hermanmillermx.vteximg.com.br/arquivos/ids/155592/Sayl_blanco-gris_2.jpg?v=637708827327970000,http://hermanmillermx.vteximg.com.br/arquivos/ids/155884/Sayl_blanco.jpg?v=637708828954170000	no		Diseñado por Yves Béhar		Blanco	"Usando ingeniería inteligente para transformar materiales simples, la silla Sayl es todo lo que una buena silla de trabajo debe ser: cómoda, hermosa y con una excelente relación calidad-precio. Menos piezas y materiales también significan menos impacto ambiental. <a href=""#idRowMedidas"" class=""vtex-store-components-3-x-content--ClassDescriptionProductLink"">Ver más detalles</a> 
 AS2SA23AA-75"		yes	http://hermanmillermx.vteximg.com.br/arquivos/ids/155591/Sayl_blanco-gris_1.jpg?v=637708827321230000	no	8	https://store.hermanmiller.com.mx/silla-sayl/p?idsku=45		Sillas > Sillas para Oficinas	22.4 g
Mesa OE1 33333333	19_79	18700.00 MXN	0	0	in stock	MX		MX		MX		MX		MX	Online	MX	es	http://hermanmillermx.vteximg.com.br/arquivos/ids/155660/Mesa_OE1_blanca-glacier.jpg?v=637708827649230000,http://hermanmillermx.vteximg.com.br/arquivos/ids/155917/Mesa_y_carretillo_OE1_Glacier.jpg?v=637708829017030000	no		Diseñado por Sam Hecht y Kim Colin		Blanca & Glacier	"Para un trabajo ágil: la mesa OE1 une la estética minimalista y la funcionalidad flexible en una forma elegante. Si está buscando llevar un estilo discreto y utilidad a su hogar u oficina, este escritorio espacioso y resistente es para usted. <a href=""#idRowMedidas"" class=""vtex-store-components-3-x-content--ClassDescriptionProductLink"">Ver más detalles</a> 
 33333333"	33333333	yes	http://hermanmillermx.vteximg.com.br/arquivos/ids/155660/Mesa_OE1_blanca-glacier.jpg?v=637708827649230000	no	19	https://store.hermanmiller.com.mx/mesa-oe1/p?idsku=79	76 x 152 cm	Mesas > Mesas de Oficina	41.2 g
